[Item Amount],vp产能数字,vp产能数字:visible,军力数字,军力数字:visible,vp符号:visible,军力符号:visible,vp数字,vp数字:visible,费用数字,费用数字:visible,text_top,text_top:color,text_limit,text_limit:visible,text_owner,text_card_type,text_bottom,分数符号:visible,费用token:visible,牌面背景:visible,牌面背景:color,[Item Note]
1,,False,3,,False,,-12,,3,,凉州大马,,{control}[西凉],,张轨,"<align=""center"">{card_strategy}-{military}</align>",{decision}2{battle}。本回合{execute}[{march}]时，获得1{vp},,,,#1a1a1aFF,
1,,False,,False,False,False,5,,2,,谢艾,,,False,张轨,"<align=""center"">{card_friend}-{military}</align>",{action}1{battle}。{newline}{passive}每次{play}{military}牌或{execute}{military}策略后，获得1{vp}。,,,,#3E5F91FF,
1,,False,,False,False,False,0,,0,,入幕之宾,#292929FF,,False,桓温,"<align=""center"">{card_event}-{affair}</align>",{search}2次[幕僚]，然后{save}{this}。,,,,#F5EDDAFF,
1,,False,,False,False,False,5,,2,,桓石虔,,,False,桓温,"<align=""center"">{card_friend}-{military}</align>",{action}{play}1张{military}牌或征发1张{military}{candidate}。,,,,#3E5F91FF,
1,,False,,False,False,False,4,,1,,伊霍之事,#292929FF,{only}{jin},,桓温,"<align=""center"">{card_event}-{power}</align>",{urusp}重洗当前{card_emperor}，并根据牌面描述重置{sima}{prestige}，获得1{prestige}，然后{save}{this}。,,,,#F5EDDAFF,
1,,False,,False,False,False,7,,3,,王镇恶,,,False,刘裕,"<align=""center"">{card_friend}-{military}</align>",{action}[{march}]1次，{fee}减2。{newline}{passive}每次结算[{march}]后，获得1{vp}。,,,,#3E5F91FF,
1,,False,,False,False,False,5,,2,,刘穆之,,,False,刘裕,"<align=""center"">{card_friend}-{affair}</align>",{action}选择1项：摸1张牌；或者征发1张{candidate}。,,,,#3E5F91FF,
1,-1,,3,,,,-9,,2,,土断,,{only}{jin},,刘裕,"<align=""center"">{card_strategy}-{power}</align>",{decision}3{battle}。{urusp}其他每个{jin}{player}各{discard}1张{hand}。3{battle}。,,,,#1a1a1aFF,
1,,False,,False,False,False,1,,2,,刘琨,#292929FF,{only}{jin},,祖逖,"<align=""center"">{card_event}-{military}</align>",{supplant}[太原][平阳]，然后{save}{this}。,,,,#F5EDDAFF,
1,,False,,False,False,False,3,,1,,桓宣,,,False,祖逖,"<align=""center"">{card_friend}-{power}</align>",{action}{pay}2{battle}，然后{supplant}1个{neighbor}{neutral}{location}。,,,,#3E5F91FF,
1,,False,,False,False,False,1,,3,,击楫中流,#292929FF,,False,祖逖,"<align=""center"">{card_event}-{military}</align>",获得6{battle}，{save}{this}。,,,,#F5EDDAFF,
1,,False,,False,False,False,0,,1,,周处除三害,#292929FF,,False,顾荣,"<align=""center"">{card_event}-{affair}</align>",{save}1张{candidate}，然后{save}{this}。,,,,#F5EDDAFF,
1,3,,1,,,,-9,,2,,兴修水利,,,False,顾荣,"<align=""center"">{card_strategy}-{affair}</align>",{decision}2{battle}2{vp}，然后{supple}1张牌到{court}。,,,,#1a1a1aFF,
1,,False,,False,False,False,3,,1,,沈劲,,,False,顾荣,"<align=""center"">{card_friend}-{military}</align>",{action}免费[{emp_defense}]{friend_player}{location}1次。如果[{emp_defense}]的目标不是你{occupy}的{location}，额外获得1{vp}。,,,,#3E5F91FF,
