card_no,title,card_type,cp,turn_of_entry,removed_after_event,text
24,Arquebusiers,Combat,1,1,No,Gain 2 extra dice in a field battle or naval combat (but not assault or piracy). Must be declared before either side rolls.
25,Field Artillery,Combat,1,1,No,Gain 2 extra dice in a field battle (French or Ottoman player gains 3 dice instead of 2). Must be declared before either side rolls.
26,Mercenaries Bribed,Combat,3,1,No,One-half (rounded up) of your opponent's mercenaries in the current field battle switch sides prior to combat resolution. Remove these mercenaries from the enemy stack and add the same number of mercenaries from your power's counter mix. Not playable by the Ottomans or if the enemy is the Ottomans.
27,Mercenaries Grow Restless,Combat,2,1,No,"Play just before an enemy formation rolls to assault one of your fortied spaces. All mercenaries in that enemy formation are removed from play. If the enemy no longer meets the requirements to besiege this space, the siege is broken and the enemy stack must retreat."
28,Siege Mining,Combat,1,1,No,Gain 3 extra dice in an assault if you are the attacker. Must be declared before either side rolls.
29,Surprise Attack,Combat,2,1,No,Roll your battle dice in this field battle first. Apply all losses before computing the number of dice that your opponent can roll; opponent does not receive any rolls if no units survive the initial attack. Can be played if attacking or defending.
30,Tercios,Combat,2,1,No,"Hapsburg player can play to gain 3 extra dice in a field battle. These 3 dice hit on a roll of 4, 5, or 6. OR Can be played by a player involved in a field battle against at least 3 Hapsburg regulars. Hapsburg player rolls 3 dice less than normal in this combat. In both cases, must be declared before either side rolls."
31,Foul Weather,Response,2,1,No,"Play during another power's impulse just after they have announced they are spending CP to move, assault, initiate piracy, conduct a naval move, or start a naval transport. 1 CP is lost. For the rest of the impulse, no land unit of that power may move more than 1 space; assault, piracy, naval moves, and naval transport are prohibited. All effects last only during this power's impulse. May not be used to stop Treachery! event."
32,Gout,Response,2,1,No,"Play during another power's impulse just after they have announced they are spending CP to move or assault with a formation that includes an army leader. 1 CP is lost. That leader may not move or assault during this impulse. If Charles V is the targeted leader, it stops any transfer he has just announced with the Holy Roman Emperor card (though a CP is not lost in this case)."
33,Landsknechts,Response,1,1,No,"If played by Hapsburgs, place 4 new Hapsburg mercenaries. If played by Ottomans, eliminate 2 mercenaries anywhere on map. If played by any other power, place 2 new mercenaries. Mercenaries are placed in any combination of spaces already containing friendly land units (even just before a field battle or assault), but not in a stack under siege. May also be used as an event card to add mercenaries in a player's own impulse."
34,Professional Rowers,Response,2,1,No,Modify a naval intercept or avoid battle roll by +2 or -2 after the dice are rolled OR Grant any player 3 extra dice in a naval combat (not in Piracy). Play after seeing both sides' rolls.
35,Siege Artillery,Response,1,1,No,"Grant attacker in an assault 2 extra dice. Play after seeing both sides' rolls. These dice score hits on a roll of 3, 4, 5, or 6. Only playable in assaults with a line of communication of 4 or fewer land spaces to a fortified home space of the major power initiating the assault."
36,Swiss Mercenaries,Response,1,1,No,"If played by France or Ottomans, the French player places 4 new French mercenaries. If played by any other power, place 2 new mercenaries. Mercenaries are placed in any combination of spaces already containing friendly land units (even just before a field battle or assault), but not in a stack under siege. May also be used as an event card to add mercenaries in a player's own impulse."
37,The Wartburg,Response,2,1,No,"Only playable by Protestant, and Luther must be alive. Protestant cancels the play of a card as an event. Must be played after event is declared but before it is resolved. Can not be used to cancel Mandatory Events, Combat cards, Response cards, or non-Papal Home cards (Papal Bull and Leipzig Debate may be canceled). Discard the event, this player's impulse is over. Protestant may not initiate debates for rest of turn. Commit Luther (if not already); he can not be added into debates with Here I Stand until next turn."
38,Halley's Comet,Response,2,3,Yes,"You may either: (a) discard a card at random from another power's hand, OR (b) force any power to skip their next impulse (NOTE: this does not count as a 'pass' towards ending the turn). Either a or b may also be played as an event in the player's own impulse to count as the player's activity for that round."
39,Augsburg Confession,Event,4,3,Yes,"If Melanchthon is uncommitted, apply a -1 modifier to all Papal rolls during Counter Reformation attempts for the rest of the turn. Papacy also rolls one less die than normal when initiating debates for the rest of the turn. Commit Melanchthon and place Augsburg Confession Active marker on the Turn Track."
40,Machiavelli: The Prince,Event,3,3,No,Declare war on one other major power during this impulse at no CP cost (see 9.6 for restrictions). Then take 2 CP of actions.
41,Marburg Colloquy,Event,5,3,Yes,"If either Luther or Melanchthon is uncommitted AND either Zwingli or Oekolampadius is uncommitted, Protestant player commits 1 debater from each pair. The Protestant player then makes a number of Reformation attempts equal to the total of their debate value, targeting all language zones."
42,Roxelana,Event,4,3,No,"May be played by any player as 4 CPs. If played by Ottoman, formation with Suleiman gets one free assault (no CP cost), even on a fortress not under siege at the start of the impulse. If played by another power, they may spend 2 of the CP to send the Suleiman leader to Istanbul (even if Suleiman is currently captured)."
43,Zwingli Dons Armor,Event,3,3,Yes,Protestant player eliminates one Catholic land unit within 3 spaces of Zurich. The Zwingli reformer and debater are then removed from the game (even if there was no such Catholic army to eliminate).
44,Affair of the Placards,Event,2,4,Yes,"If Cop is uncommitted, Protestant player makes 4 Reformation attempts targeting the French language zone. Commit Cop."
45,Calvin Expelled,Event,1,4,Yes,Remove the Calvin reformer and debater from the map for the rest of the turn. Both return to play at the start of the next turn (replace the reformer in Geneva). Commit Calvin.
46,Calvin's Institutes,Event,5,4,Yes,"If Calvin is uncommitted, Protestant player makes 5 Reformation attempts targeting the French language zone. Add a +1 die roll modifier to each Protestant roll in the target language zone (i.e. against a French-speaking space). Commit Calvin."
47,Copernicus,Event,6,5,Yes,"If half or more of your power's home spaces are under Protestant religious influence, gain 2 VP. Otherwise gain 1 VP and either draw a card from the deck or force the Protestant to discard one card at random."
48,Galleons,Event,2,4,No,"Place a 'Galleons' marker next to the colonies of England, France, or the Hapsburgs. All 'Galleons' results for that power on the New World Riches Table now result in a bonus card. Improves Hapsburg defense against Huguenot Raiders. Galleons marker does not require a colony from that power to currently be in play."
49,Huguenot Raiders,Event,2,4,No,"Playable on behalf of England, France, or Protestant if they have at least one home port under Protestant religious influence and no Raider currently in play. Add a Raider marker of the appropriate power next to the Hapsburg colonies. Hapsburg New World Riches now have a chance to be intercepted by this power (see 20.4)."
50,Mercator's Map,Event,2,4,No,"Launch a Voyage of Exploration for England, France or the Hapsburgs at no additional CP cost. Place the '+2 Mercator' marker next to the 'Exploration Underway' marker for this power and place both in the 'Crossing Atlantic' box. Add this modifier when resolving the voyage during the New World Phase."
51,Michael Servetus,Event,4,4,Yes,Gain 1 VP when played. Discard one card at random from Protestant hand.
52,Michelangelo,Event,4,4,Yes,The Papal player rolls 2 dice. The total roll is the number of CP that are immediately added to the Papal fund for St. Peter's construction.
53,Plantations,Event,2,4,No,"Place a 'Plantations +1' marker next to the colonies of England, France, or the Hapsburgs. That power adds 1 to all rolls on the Potosi and Colony columns of the New World Riches Table for the rest of the game. Plantations marker does not require a colony from that power to currently be in play."
54,Potosi Silver Mines,Event,3,4,Yes,"Add the Potosi marker directly to an open colony box for either England, France or the Hapsburgs. That power then removes one of their colony markers from play for the rest of the game."
55,Jesuit Education,Event,3,5,No,"If the Society of Jesus event has been played, Papal player chooses 2 spaces under Catholic religious influence anywhere on the map and places a Jesuit university in each space."
56,Papal Inquisition,Event,5,5,No,"If Caraffa is uncommitted, convert 2 Protestant spaces in the Italian language zone back to Catholic religious influence. Commit Caraffa. Papal player targets either England or Protestant and secretly reviews the cards in that power's hand. Papacy can choose to either draw a card at random from this hand, retrieve any card from the discard pile, or initiate a debate in any zone with two extra dice. Card drawn must be held for a later impulse."
57,Philip of Hesse's Bigamy,Event,2,5,Yes,Protestant player must either remove Philip of Hesse from the game or discard one card (chosen at random).
58,Spanish Inquisition,Event,5,5,No,Convert 2 Protestant spaces in the Spanish language zone back to the Catholic side. Hapsburg player secretly reviews the cards in the English and Protestant hands and selects a card from one of these powers to be discarded. Hapsburg player draws a card from the deck. Papal player calls a Theological Debate (in any language zone).
59,Lady Jane Grey,Event,3,6,Yes,"If England has changed rulers this turn and has a non-home card remaining in their hand, draw one card from the English hand and one from the deck. Choose 1 card to keep and 1 card to award to either the Protestant or Papal player."
60,"2P Variant: Playable by the Papacy (as if played by Hapsburgs), after which event is playable by the Protestant. Remove Maurice from the map during winter."">Maurice of Saxony",Event,4,6,No,"Playable by Hapsburg or Protestant. Maurice of Saxony switches sides (changing from a Protestant leader to Hapsburg or vice versa). If he is on the board, the mercenaries in his stack also switch: replace with Protestant or Hapsburg mercenaries as appropriate. Move Maurice and these mercenaries to the nearest unoccupied space under friendly control. If he is captured, he switches sides to the other power. Place in a fortified space controlled by this power."
61,Mary Defies Council,Event,1,7,No,Papal player makes 3 Counter Reformation attempts targeting the English language zone.
62,Book of Common Prayer,Event,2,Variable,No,"If Cranmer is uncommitted, Protestant player makes 4 Reformation attempts in English home spaces (including Calais). Commit Cranmer. After attempts are complete, roll 1 die. On a 1 or 2, there is no further effect. On a 3 or 4, add Unrest to 1 Catholic English home space. On a 5, add Unrest to 2 such spaces. On a 6, add Unrest to all such spaces. Spaces going into unrest may be occupied; spaces are chosen by power playing event."
63,Dissolution of the Monasteries,Event,4,Variable,Yes,English player draws 2 cards from deck. Protestant player then makes 3 Reformation attempts targeting the English language zone.
64,Pilgrimage of Grace,Event,3,Variable,Yes,Place Unrest markers on up to 5 unoccupied English home spaces.
65,A Mighty Fortress,Event,4,1,No,"If Luther is uncommitted, Protestant player makes 6 Reformation attempts targeting the German language zone. Commit Luther."
66,Akinji Raiders,Event,3,1,No,Playable as event if Ottoman is at war with a power and Ottoman cavalry is within 2 spaces of a space controlled by that same target power. Any intervening space must be controlled by Ottoman. Ottoman draws a card at random from the target power and keeps it in his hand.
67,Anabaptists,Event,3,1,No,Papal player converts two non-electorate and unoccupied spaces under Protestant religious influence back to Catholic religious influence. Spaces converted need not be eligible for Counter Reformation attempts (i.e. they need not be adjacent to a Catholic space).
68,Andrea Doria,Event,5,1,No,"Playable by France, Hapsburgs, or Papacy to deactivate Genoa from their current ally and then immediately activate Genoa as an ally of the power playing this card OR Playable if power controlling Andrea Doria is at war with Ottomans and Doria is in sea zone adjacent to 2 Ottoman-controlled ports. Power playing card and power controlling Doria each draw 1 card from deck. Then roll 3 dice. Each hit of 5 or 6 reduces Ottoman piracy VP by 1 (but not below 0)."
69,Auld Alliance,Event,3,1,No,Playable by France to activate Scotland if unaligned. Playable by England or France to deactivate Scotland if aligned. Also playable by France when Scotland is already a French ally or as payment for intervening after a declaration of war on Scotland. In these last 2 cases add up to 3 new French regulars in any Scottish home space under French control that is not under siege.
70,Charles Bourbon,Event,4,1,No,"Add Renegade Leader and 3 mercenaries (or 3 cavalry if Ottoman plays event) to any space you control that is not under siege, in unrest, or occupied by an enemy formation. If at war with France, these forces can be added to any unoccupied space adjacent to Lyon; take immediate control of that space. Leader is removed from map at the end of the turn."
71,City State Rebels,Event,4,1,No,"Pick a captured key (an independent key controlled by a major power, or a home key controlled by a major power that is not allied to the space's home power) that is not currently under siege as the target. Rebels roll 5 dice. Each hit scored forces the power controlling the key to eliminate an army or fleet from the space. If no land or naval units remain after the revolt, do the following: leaders are captured by the power playing the card; remove the control marker and place one from home power (or that power's current major power ally); add 1 regular of the home power in the space."
72,Cloth Prices Fluctuate,Event,3,1,No,"If England controls Calais and Hapsburgs control Antwerp, both powers draw a card from the deck; the power playing this card adds 2 mercenaries (2 cavalry for the Ottoman) in a friendly home space not under siege. OR Power controlling Antwerp discards a card at random. Add unrest on up to 2 unoccupied spaces from this list: Antwerp, Brussels, Amsterdam, all German and Italian-speaking Hapsburg home spaces."
73,Diplomatic Marriage,Event,5,1,No,Not playable by Ottomans or Protestant. Activate or deactivate a minor power if permitted by Section 22.1 OR Play when suing for peace to restore all home spaces and captured leaders taken by 1 enemy power without giving up any cards. War winner still earns 1 VP (2 if Ottoman).
74,Diplomatic Overture,Event,5,1,No,Draw 2 new cards from the deck. Then give any one card (other than your Home card or a Mandatory Event) to another power. If no such card is in your hand you may in that one case give up a Mandatory Event.
75,Erasmus,Event,3,1,No,"If played on Turn 1 or 2, Protestant player makes 4 Reformation attempts targeting all language zones. If played on Turn 3 or later, Papal player makes 4 Counter Reformation attempts targeting all language zones."
76,Foreign Recruits,Event,4,1,No,Spend 4 CP on building new military units. These units may be built in any space you control that is not under siege. The spaces need not be home spaces like usual. This card also allows the Ottoman to construct units other than corsairs in Algiers or pirate havens.
77,Fountain of Youth,Event,2,1,No,"Cancel a Voyage of Exploration that is underway. Remove the Exploration Underway marker for the targeted power and place it on the Turn Track to re-enter play next turn. Then roll a die. On a roll of 4, 5, or 6, one of the targeted power's explorers (chosen at random) is removed from the game."
78,Frederick the Wise,Event,3,1,Yes,Convert the two German-speaking and Catholic spaces nearest to Wittenberg to Protestant religious influence. Protestant player chooses between equidistant spaces. Protestant may then pick up Wartburg and add it to his hand if that card is in the discard pile.
79,Fuggers,Event,3,1,No,Draw 2 cards from the deck. You draw 1 less card next turn. Place a '-1 Card' marker on the appropriate power card until next turn as a reminder.
80,Gabelle Revolt,Event,1,1,No,Place Unrest markers on up to 2 unoccupied French home spaces.
81,Indulgence Vendor,Event,3,1,No,Draw a card at random from the Protestant hand. Add the CP value of the drawn card to the Papal fund for St. Peter's construction. Card is then discarded.
82,Janissaries Rebel,Event,2,1,No,Place Unrest markers on up to 2 unoccupied Ottoman home spaces. Increase number of spaces to 4 if Ottoman is not at war with a major power.
83,John Zapolya,Event,3,1,Yes,"If the Buda space is not under siege, add 4 regulars of the power that controls Buda to that space. If Hungary still controls Buda, add Hungarian regulars to that space (up to the limit of the counter mix)."
84,Julia Gonzaga,Event,1,1,Yes,"If Barbary Pirates has been played, award the Julia Gonzaga marker (1 bonus VP) to the Ottoman player if Piracy scores a hit in the Tyrrhenian Sea later in this turn."
85,Katherina Bora,Event,3,1,Yes,"If Luther is uncommitted, Protestant player makes 5 Reformation attempts targeting all language zones. Commit Luther."
86,Knights of St. John,Event,2,1,No,"If Knights of St. John are on map, not under siege, and connected by 1 sea zone to an Ottoman-controlled port, draw 1 card at random from Ottoman and contribute CP value to St. Peter's construction. OR If Knights are off-map, Hapsburg adds them to a Hapsburg-controlled home port; the port space then switches to independent political control and a fortress is added to the space (if not already fortified)."
87,Mercenaries Demand Pay,Event,2,1,No,Target power loses all mercenaries unless they discard a card immediately. (Home cards may be used; mandatory events may not). Value of card determines number of mercenaries kept (target power chooses which are kept): 1 CP = 2 units; 2 CP = 4 units; 3 CP = 6 units; 4 CP = 10 units; 5 or 6 CP = all units retained.
88,Peasants' War,Event,3,1,Yes,Place Unrest markers on up to 5 unoccupied German-speaking spaces.
89,Pirate Haven,Event,3,1,No,"If Barbary Pirates has been played, Ottoman targets either Oran or Tripoli. Target space must be unoccupied, controlled by a power at war with Ottomans, and must border a sea zone adjacent to a fortified space under Ottoman control. The following items are added to the target space: 1 Ottoman regular, 2 corsairs, and a Pirate Haven marker (if not present). The Ottoman player may now build corsairs in this space when it is under Ottoman control."
90,Printing Press,Event,5,1,No,The attacker rolls 1 extra die during Reformation attempts for the rest of the turn. Place Printing Press Active marker on the Turn Track. Protestant player immediately makes 3 Reformation attempts targeting all language zones.
91,Ransom,Event,3,1,No,"Immediately return any captured leader (even if from another power) to one of his home fortified spaces that is not under siege, in unrest, or occupied by an enemy formation. Owning player chooses which fortified space."
92,Revolt in Egypt,Event,3,1,No,"Ottoman player must remove 3 land units from the map and place them (along with any leaders desired) on this Foreign War card. Egyptians start with 3 land units. If Ottoman strength drops below 3 land units, all new Ottoman land unit builds must be placed on card until total of 3 is restored. Award 1 War Winner VP to Ottoman when war ends. Add a -1 Card marker on Ottoman until war ends."
93,Revolt in Ireland,Event,3,1,No,"English player must remove 4 land units from the map and place them (along with any leaders desired) on this Foreign War card. Irish start with 3 land units. If English strength drops below 4 land units, all new English land unit builds must be placed on card until total of 4 is restored. If played by France or Hapsburgs, they may remove 1 of their land units from the map to increase the strength of the Irish to 4 land units. Award 1 War Winner VP to England when war ends. Add a -1 Card marker on England until war ends."
94,Revolt of the Communeros,Event,2,1,No,Place Unrest markers on up to 3 unoccupied Spanish-speaking spaces.
95,Sack of Rome,Event,5,1,Yes*,"If there are more non-Papal mercenaries in 1 Italian-speaking space than Papal regulars in Rome, the stack with the mercs fights a field battle against the regulars in Rome. If Papacy loses: deduct 5 CP from St. Peter's track, draw 2 cards from Papal hand. Owner of mercenaries keeps one card, discards other. See Section 21.5 for full procedure. Remove from deck if Papacy loses."
96,Sale of Moluccas,Event,3,1,Yes,Power who has completed the circumnavigation exploration draws 2 cards from the deck.
97,Scots Raid,Mandatory,2,3,No,"Ignore event unless Scotland is allied to France. If Stirling is not under French control, switch Stirling to French control and displace any units that are not French or Scottish from this space. Then France gains up to 6 CP that must be spent (as permitted by current war status) on building units, moving, controlling spaces or assaulting in Scottish home spaces, Berwick, Carlisle, or York. Assaults on these spaces can be conducted even on a fortified space not under siege at the start of the impulse. France has the option to transfer a French leader to a Scottish home space before taking these actions but in this case gets only 3 CP to spend."
98,Search for Cibola,Event,2,1,No,"Cancel a Voyage of Exploration or Conquest that is underway. Remove the Exploration Underway, Conquest Underway, or Conquest marker for the targeted power and place it on the Turn Track to re-enter play next turn, and to serve as a reminder that this power may not launch another voyage of this type until next turn."
99,Sebastian Cabot,Event,1,1,Yes*,"Playable by England, France, Hapsburg (but only once during the game for each power). Cabot (a 1 explorer) is launched on a Voyage of Exploration for the player's power. That power's 'Exploration Underway' marker is not flipped after resolving the expedition, nor does the expedition suffer a -1 modifier if that marker is on the 'Uncharted' side. Remove that power's Cabot marker from the game after resolving the exploration. Remove the card from the deck if Cabot dies while exploring."
100,Shipbuilding,Event,2,1,No,Not playable by Protestant. Add 2 new squadrons in any controlled home port (or 1 squadron in each of two home ports). Ottoman may choose to substitute 2 corsairs for each naval squadron (but still may not construct squadrons in Algiers or a pirate haven).
101,Smallpox,Event,4,1,No,"Playable by England, France, Hapsburgs. Launch a a Voyage of Conquest at no additional CP cost. Place the '+2 Smallpox' marker next to the Conquest Underway or Conquest marker for this power. Add this modifier when resolving the voyage during the New World Phase. Does not allow a power to have two Conquests in the same turn."
102,Spring Preparations,Event,3,1,No,"Not playable by Protestant or any power that doesn't control its own capital. Play during Spring Deployemnt Phase. Add 1 regular to capital (add 1 to each if Hapsburg). Formation moving during spring deployment may cross passes, move more than 5 units by sea, and cross sea zones where other powers have fleets."
103,Threat to Power,Event,3,1,No,"Target one minor army leader (Charles Brandon, Duke of Alva, Montmorency, or Ibrahim Pasha) who is not currently captured or fighting a foreign war. Roll a die. On a 1-3, remove from play for the rest of the current turn. On a 4-6, remove from play for the rest of the game. Returning leaders are placed in their capital if possible. If not, place them in a friendly home key."
104,Trace Italienne,Event,3,1,No,"Add a fortress to any unfortified space (even if under Unrest or controlled by another power). Unless space is independent or in unrest, add 1 regular to that space from the counter mix of the power which controls the space. Not playable in a space containing military units from a power that does not control the space."
105,Treachery!,Event,5,1,No,"Play against any fortified space that is currently under siege, even a space where a besieging power does not meet the requirements for assault (either because of a lack of a LOC or because of the presence of naval units). Immediately initiate an assault by a besieging power on the units within the fortifications. After the assault, if the besieging units still outnumber the units within, apply these results: all defending units are eliminated; defending leaders are captured; space becomes controlled by besieging power."
106,Unpaid Mercenaries,Event,3,1,No,"All mercenaries in a single space are removed from play. If multiple major powers have mercenaries in a single space, only one of the major powers can be affected by this event."
107,Unsanitary Camp,Event,2,1,No,"A single stack of land units is stricken by disease. One-third (rounded up) of the units are removed from play (as chosen by their owner). At least half of the losses must be from regular troops (if possible). If multiple major powers have units in a single space, only one of the major powers can be affected by this event. Allied minor power units are considered to be a part of the stack with the major power that controls them."
108,Venetian Alliance,Event,4,1,No,"Playable by Papacy to activate Venice if unaligned. Playable by Ottoman or Papacy to deactivate Venice if aligned. Also playable by Papacy when Venice is already a Papal ally, or in Diplomacy Phase by Papacy to intervene after a declaration of war on Venice. In these last two cases add up to 1 Venetian regular and 2 Venetian fleets (subject to counter mix) in any Papal-controlled port not under siege."
109,Venetian Informant,Event,1,1,No,"Play during Spring Deployment Phase, before any powers have deployed units. The cards in one power's hand are reviewed in secret by you or by a power designated by you."
110,War in Persia,Event,4,1,No,"Ottoman player must remove 5 land units from the map and place them (along with any leaders desired) on this Foreign War card. Persians start with 4 land units. If Ottoman strength drops below 5 land units, all new Ottoman land unit builds must be placed on card until total of 5 is restored. Award 1 War Winner VP to Ottoman when war ends. Add a -1 Card marker on Ottoman until war ends."
111,Colonial Governor/Native Uprising,Event,2,1,No,"May be played by any power to move this marker to a new position on either side on the colony display. During the Card Draw phase of subsequent turns, No Effect results from any colony of the chosen player are converted to Card (if marker on Colonial Governor side) or Elim (if marker on Native Uprising side). Marker is removed from display at the end of the Card Draw phase in which a No Effect result is altered (though it can return if this card is played in a future turn)."
112,Thomas More,Event,3,1,Yes*,"If played by England or Protestant, More is executed. Place Thomas More marker on Turn Track to indicate there are no debates in England this turn. England draws 1 card from deck and then discards any 1 card they choose from their hand. Remove from deck. OR If played by any other power, Papacy calls a debate rolling 1 extra attack die each round (3 extra dice if debate is in England). Remove from deck if Henry has married Anne Boleyn."
113,Imperial Coronation,Mandatory,2,3,Yes*,"If Charles is in the Italian language zone, Hapsburgs and power playing this card draw 1 card from the deck."
114,La For&#234;t's Embassy in Istanbul,Mandatory,2,3,Yes*,"If France and the Ottoman are allied, both powers draw and keep 1 card."
115,Thomas Cromwell,Response,3,4,Yes*,Playable as a response to cancel play of Papal Bull to excommunicate Cranmer. OR Playable as an event to retrieve Dissolution of the Monasteries from discard pile and award that card to England. OR Playable as event to publish a treatise in England. All English treatises cost only 2 CP this turn. Remove from deck after play as event if 3 or lower result has occurred on Pregnancy Chart.
116,Rough Wooing,Event,3,5,No,"Playable if Edward VI has been born, is still alive, and Scotland is allied with France. England and France each roll a die and add the number of land and naval units under their control in Scottish home spaces to their total. If the English number exceeds the French number by 2, deactivate Scotland from France and then immediately activate Scotland as an English ally. All Scottish home spaces come under English control and displace any units that are not English or Scottish from these spaces."
201,Andrea Doria,Diplomacy,,1,No,"Playable by Papacy to deactivate Genoa from their current ally and then immediately activate Genoa as a Papal ally. Playable by Protestant to deactivate Genoa and then immediately activate Genoa as a French ally. If Genoa already controlled by the power listed above, add 4 CP of Genoese units to a Genoese home space under that power's control."
202,French Constable Invades,Diplomacy,,1,No,"France and the Papacy are now at war. Protestants place Montmorency, 2 French regulars, and 2 French mercenaries in a French-controlled space. Protestant draws 1 card from the Main Deck. Protestant then either places 1 French squadron in a French home port or adds 2 more French mercenaries to the same French-controlled space."
203,Corsair Raid,Diplomacy,,1,No,"Roll four dice, scoring hits on the other player on a 5 or 6. For each hit, the enemy player must discard a card or eliminate a naval squadron. Hits on the Papacy eliminate Papal squadrons or squadrons from active Papal minor allies. Hits on the Protestant are taken from French or Ottoman squadrons (or Hapsburg squadrons if the Hapsburgs are at war with the Papacy)."
