归属,卡牌名称,费用,类型,卡牌分类,效果,资源,史书vp,名臣,文化标记,军事标记,权谋标记,内政标记,限定东晋,限定北方,僭越,已经标注,角色/初始,幕僚-名将,幕僚-谋主,幕僚-特殊,幕僚-艺术文化,策略-军备,策略-文化,策略-特殊,事件-艺术,事件-文化,事件-军事,事件-VP,事件-检索,事件-功能,事件-机制,事件-权谋,公共,total,儒学,玄学,佛学
北方,司马道子,1,策略牌,幕僚-特殊,名臣：支付2军力，在东晋弃牌区放置1张[流民]。补充1次。,1军力2vp,-6,1,,,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,
北方,孙恩,1,策略牌,幕僚-特殊,名臣：支付1军力，选择1个玄学区域的未加固地点，转为中立控制。补充1次。,2军力,-6,1,,,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,
北方,慕容垂,3,事件牌,事件-军事,幕僚区有空位时，可以打出。获得8军力。,,0,,,1,,,,,,1,,,,,,,,,,,1,,,,,,,,,,
王导,王导,-,角色牌,角色-东晋,被动：任意玩家提高行动顺位时，获得2vp。登场：先动值8。获得2顺位，3功绩和3威望，转化[合肥][寿春]。,,,,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,
王导,王羲之,3,策略牌,幕僚-艺术文化,名臣：获得X vp，X=[文化]等级。可以支付2vp，然后摸1张牌。补充1次。,6vp,-12,1,1,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,
王导,王敦,3,事件牌,幕僚-特殊,提高1级威望，转化1个司马家边境地点，然后存档此牌。,-,-3,,,,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,
王导,侨州郡县,2,策略牌,策略-特殊,朝堂：转化1个相邻中立地点。获得2军力。,2军力1vp,-9,,,,,1,1,,,1,,,,,,,,1,,,,,,,,,,,,,
谢安,谢安,-,角色牌,角色-东晋,被动：每次获得功绩后，摸1张牌。登场：先动值2。获得2威望和2功绩（不触发被动效果）。在其他东晋玩家完成登场效果后，转化2个司马家边境地点。,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
谢安,谢玄,2,策略牌,幕僚-名将,名臣：打出1张[军事]牌。补充1次。,2军力1vp,-6,1,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
谢安,谢道蕴,2,策略牌,幕僚-艺术文化,名臣：打出1张[文化]牌。补充1次。,1军力3vp,-6,1,1,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,
谢安,东山再起,1,事件牌,事件-检索,检索1次[策略]，然后存档此牌。,-,0,,,,,1,,,,1,,,,,,,,,,,,,1,,,,,,,,
郗鉴,郗鉴,-,角色牌,角色-东晋,被动：每次存档或弃置[流民]时，获得1军力或2vp。登场：先动值4。转化[京口][广陵]。获得2功绩和2威望。,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,
郗鉴,郗超,1,策略牌,幕僚-谋主,名臣：支付1张手牌，弃置1张候选策略牌，然后摸1张手牌，补充2次。,2军力,-6,1,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,
郗鉴,京口重镇,2,策略牌,策略-军备,朝堂：弃置1张[流民]，然后获得5军力。,2军力1vp,-9,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,
郗鉴,流民帅,0,事件牌,事件-军事,在本国弃牌区放置1张[流民]。转化1个未被控制区域的中立地点。获得1军力。,,0,,,,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,
张轨,张轨,-,角色牌,角色-东晋,被动：每次打出[文化]牌或者执行[文化]策略时，获得2vp。登场：先动值6。转化[张掖][姑臧]。获得2功绩和2威望。,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
张轨,通使建康,1,事件牌,事件-VP,如果有一条从[姑臧]到[建康]的全部地点被东晋势力占据的线路，可以打出，然后存档此牌。,-,8,,,,1,,1,,,1,,,,,,,,,,,,1,,,,,,,,,
张轨,凉州大马,3,策略牌,策略-军备,朝堂：免费[进军]1次。获得3军力。被动：控制[西凉]时，才能打出或执行。,3军力,-12,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,
张轨,谢艾,2,策略牌,幕僚-名将,名臣：获得1军力。补充1次。本回合，每次打出[军事]牌或执行[军事]策略后，获得1vp。,2军力1vp,-9,1,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
桓温,桓温,-,角色牌,角色-东晋,被动：每次存档1张牌时，获得1军力1vp。登场：先动值5。转化[南郡][襄阳]。获得2功绩和2威望。,,,,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,
桓温,入幕之宾,1,事件牌,事件-检索,检索1次[名臣]，然后存档此牌。,,0,,,,,1,,,,1,,,,,,,,,,,,,1,,,,,,,,
桓温,桓石虔,2,策略牌,幕僚-名将,名臣：支付1vp，然后获得2军力。补充1次。,2军力1vp,-9,1,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
桓温,伊霍之事,1,事件牌,事件-权谋,[僭越]重置东晋君主牌，获得1威望，然后存档此牌。,,1,,,,1,,1,,1,1,,,,,,,,,,,,,,,,1,,,,,
刘裕,刘裕,-,角色牌,角色-东晋,被动：执行名臣行动时，也可以获得等级奖励。登场：先动值1。,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
刘裕,王镇恶,3,策略牌,幕僚-名将,名臣：支付1军力，然后免费[进军]1次。补充1次。,3军力,-12,1,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
刘裕,刘穆之,1,事件牌,幕僚-谋主,提升1级等级，存档此牌。,-,0,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,
刘裕,土断,2,策略牌,策略-军备,朝堂：3军力。[僭越]其他每个东晋玩家各弃1张手牌。3军力。,3军力-1vp,-9,,,,1,,1,,1,1,,,,,,1,,,,,,,,,,,,,,,
祖逖,祖逖,-,角色牌,角色-东晋,被动：每次结算[转化]后，摸1张牌并获得2vp。登场：先动值3。获得4军力。获得1功绩和3威望。,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
祖逖,刘琨,2,事件牌,事件-军事,存档此牌。终局：如果友方控制[山西]，获得10vp。,,0,,,1,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,
祖逖,桓宣,1,策略牌,幕僚-特殊,名臣：弃置1张候选策略牌。可以支付2军力，然后转化1个相邻中立地点。补充2次。,2军力,-6,1,,,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,
祖逖,击楫中流,3,事件牌,事件-军事,获得5军力。存档此牌。,,1,,,1,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,
顾荣,顾荣,-,角色牌,角色-东晋,被动：每次执行[内政]策略或者打出[内政]牌时，获得2vp。登场：先动值7。转化[吴]。获得3功绩和2威望。,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,
顾荣,周处除三害,2,事件牌,事件-功能,存档1张候选策略牌，然后存档此牌。,,0,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,,
顾荣,兴修水利,2,策略牌,策略-军备,朝堂：2军力3vp，补充1次。,2军力1vp,-9,,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,
顾荣,沈劲,1,策略牌,幕僚-名将,名臣：免费[加固]友方地点1次。补充1次。,2军力,-6,1,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
通用,人何以堪,0,事件牌,事件-机制,强制：在东晋、北方牌库中，各选择1张费用最高的名臣牌，放回游戏盒中。摸1张牌。,,0,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,
通用,功高不赏,0,事件牌,事件-机制,强制：选择1个[功绩]最高的玩家，该玩家-1[功绩]并+6vp。摸1张牌。,,0,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,
通用,流民四起,0,事件牌,事件-机制,强制：在东晋和北方弃牌区各放置1张[流民]。摸1张牌。,,0,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,
通用,天师道,0,事件牌,事件-机制,强制：选择1个[玄学]区域的未加固地点，转为中立控制。摸1张牌。,,0,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,1,
通用,衣冠南渡,0,事件牌,事件-机制,强制：在东晋弃牌区各放置1张[流民]，北方玩家弃1张手牌。摸1张牌。,,0,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,
通用,名教之争,0,事件牌,事件-机制,强制：如果[儒学]等级>=[玄学]等级，司马家威望+1；否则司马家威望-1。摸1张牌。,,0,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,1,1,
通用,我见犹怜,1,事件牌,事件-VP,控制[巴蜀]时，可以打出。存档此牌。,,7,,,,1,,,,,1,,,,,,,,,,,,1,,,,,,,,,
通用,西域征伐,3,事件牌,事件-VP,控制[西凉]时，可以打出。将部队储备区的2个部队放回游戏盒中。存档此牌。,,6,,,1,,,,,,1,,,,,,,,,,,,1,,,,,,,,,
通用,高句丽征伐,3,事件牌,事件-VP,控制[幽燕]时，可以打出。将部队储备区的2个部队放回游戏盒中。存档此牌。,,6,,,1,,,,,,1,,,,,,,,,,,,1,,,,,,,,,
通用,还都洛阳,1,事件牌,事件-VP,占据[洛阳]时，可以打出。存档此牌。[僭越]交换东晋首都和洛阳的部队。获得1[威望]。,,5,,,,1,,1,,1,1,,,,,,,,,,,,1,,,,,,,,,
通用,华阳国志,2,事件牌,事件-VP,友方控制[巴蜀]时，可以打出。传播1次[儒学]，存档此牌。,,5,,1,,,,,,,1,,,,,,,,,,,,1,,,,,,,1,,
通用,孙子算经,3,事件牌,事件-VP,4个等级轨都至少1级时，可以打出。存档此牌。,,14,,1,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,
通用,毛宝,1,策略牌,幕僚-名将,名臣：获得1军力。补充1次。,2军力,-6,1,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
通用,朱龄石,2,策略牌,幕僚-名将,名臣：支付1vp，获得2军力。补充1次。,3军力-1vp,-9,1,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
通用,陶侃,3,策略牌,幕僚-名将,名臣：获得2军力。补充1次。,2军力2vp,-12,1,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
通用,兰亭集序,3,事件牌,事件-艺术,传播1次[玄学]，然后存档此牌。,,3,,1,,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,
通用,洛神赋图,3,事件牌,事件-艺术,传播1次[儒学]，然后存档此牌。,,3,,1,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,
通用,桃花源记,3,事件牌,事件-艺术,存档此牌。终局：获得2X vp，X=北方和东晋国家牌库中[流民]的数量。,,5,,1,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,
通用,北征赋,0,事件牌,事件-艺术,拥有[北伐]标记时，可以打出，存档此牌。,,2,,,,1,,1,,,1,,,,,,,,,1,,,,,,,,,,,,
通用,胡笳羌笛,3,事件牌,事件-艺术,存档此牌。终局：获得X vp，X=存在你的部队的区域数量。,,7,,1,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,
通用,佛经翻译,1,策略牌,策略-文化,朝堂：提高1级[佛学]贡献度，从供应轨移除1个[佛学]标记，获得4vp。,4vp,-6,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,1
通用,国子学,3,策略牌,策略-文化,朝堂：传播1次文化，提高1级等级。,2军力2vp,-9,,,,,1,,,,1,,,,,,,1,,,,,,,,,,,,,,
通用,佛寺,1,策略牌,策略-文化,朝堂：传播1次[佛学]，获得2vp。,4vp,-6,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,1
通用,太史令,3,策略牌,策略-文化,朝堂：支付1军力，然后存档1张候选策略牌，传播1次[儒学]。,2军力2vp,-12,,,,,1,,,,1,,,,,,,1,,,,,,,,,,,,1,,
通用,千佛洞,3,策略牌,策略-文化,朝堂：支付1军力，然后传播1次[佛学]，获得2X vp，X=文化等级。,1军力4vp,-12,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,1
通用,官僚制度,1,策略牌,策略-文化,朝堂：支付2vp，然后传播1次[儒学]，可以执行1次名臣行动。,2军力,-6,,,,,1,,,,1,,,,,,,1,,,,,,,,,,,,1,,
通用,太学,3,策略牌,策略-文化,朝堂：提高1级文化贡献度，从文化轨上移除1个对应的文化标记。获得X vp，X=文化贡献度之和。,1军力4vp,-12,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,
通用,清谈,2,策略牌,策略-文化,朝堂：传播1次[玄学]。打出1张不含[军事]标记的手牌。,4vp,-9,,1,,,,1,,,1,,,,,,,1,,,,,,,,,,,,,1,
通用,刘牢之,0,事件牌,事件-权谋,选择1个东晋玩家，该玩家失去1军力。然后，获得1军力。[僭越]存档此牌。,,1,,,1,,,,,1,1,,,,,,,,,,,,,,,,1,,,,,
通用,支妙音,0,事件牌,事件-权谋,[佛学]贡献度>1时，可以打出。支付2vp，然后转化1个东晋地点。,,0,,,,1,,1,,,1,,,,,,,,,,,,,,,,1,,,,,1
通用,咄咄怪事,2,事件牌,事件-权谋,转化1个东晋地点。存档此牌。[僭越]获得1威望。,,0,,,,1,,1,,1,1,,,,,,,,,,,,,,,,1,,,,,
通用,庾亮,1,事件牌,事件-权谋,提高1级顺位。存档此牌。[僭越]额外提高1级顺位。,,0,,,,1,,1,,1,1,,,,,,,,,,,,,,,,1,,,,,
通用,不越雷池半步,1,事件牌,事件-权谋,选择1个东晋玩家，降低1级顺位。存档此牌。[僭越]额外降低1级顺位。,,3,,,,1,,,,1,1,,,,,,,,,,,,,,,,1,,,,,
通用,焉能有功,0,事件牌,事件-权谋,顺位最低时可以打出。提高1级顺位。存档此牌。,,1,,,,1,,1,,,1,,,,,,,,,,,,,,,,1,,,,,
通用,鸩酒,0,事件牌,事件-权谋,[僭越]将1张东晋朝堂区的[名臣]牌放回游戏盒中，然后获得1威望，补充1次。,,0,,,,1,,1,,1,1,,,,,,,,,,,,,,,,1,,,,,
通用,刘隗,0,事件牌,事件-权谋,[威望]最高的东晋玩家，失去2[威望]。[僭越]改为选择1个东晋玩家，失去2[威望]，存档此牌。,,2,,,,1,,1,,1,1,,,,,,,,,,,,,,,,1,,,,,
通用,杨佺期,1,事件牌,事件-权谋,[僭越]转化1个东晋占据地点，然后存档此牌。,,1,,,1,,,1,,1,1,,,,,,,,,,,,,,,,1,,,,,
通用,陶渊明,1,事件牌,事件-检索,检索1次[文化]，然后存档此牌。,,0,,1,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,
通用,戴洋,1,事件牌,事件-检索,检索1次[权谋]，然后存档此牌。,,0,,,,1,,,,,1,,,,,,,,,,,,,1,,,,,,,,
通用,郭璞,1,策略牌,幕僚-特殊,名臣：支付1军力，然后选择[文化][内政][军事]或[权谋]标记，检索该标记。补充1次。,,-6,1,1,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,
通用,玄言清谈,2,事件牌,事件-文化,提高1级顺位，传播1次[玄学]。,,0,,1,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,
通用,法显西行,2,事件牌,事件-文化,控制[关中]时，可以打出。提高2级佛学贡献度，从供应轨移除2个[佛学]标记，存档此牌。,,0,,1,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,1
通用,良吏,2,事件牌,事件-文化,[儒学]贡献度>1时，可以作为事件打出。存档1张候选策略牌，传播1次[儒学]。,,0,,,,,1,,,,1,,,,,,,,,,1,,,,,,,,,1,,
通用,葛洪,2,策略牌,幕僚-文化,名臣：支付1张手牌，传播1次[玄学]。补充1次。,1军力3vp,-9,1,1,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,
通用,沙门还俗,0,事件牌,事件-文化,选择1个[佛学]区域，其佛学标记返回供应轨，该区域的控制者摸2张牌。,,0,,,,,1,,,,1,,,,,,,,,,1,,,,,,,,,,,1
通用,凿壁偷光,0,事件牌,事件-文化,打出1张[名臣]牌，提升对应的等级1级。,,0,,1,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,
通用,尹纬,1,策略牌,幕僚-谋主,名臣：支付1张手牌，弃置1张候选策略牌，然后摸1张手牌，补充2次。,2军力,-6,1,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,
通用,阳骛,1,策略牌,幕僚-谋主,名臣：支付1张手牌，弃置1张候选策略牌，然后摸1张手牌，补充2次。,2军力,-6,1,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,
通用,刁协,1,策略牌,幕僚-谋主,名臣：支付1张手牌，然后投掷1个皇帝任务，摸1张手牌，补充1次。被动：需要[儒学]等级>0，才能打出。,2军力,1,1,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,1,,
通用,袁乔,1,策略牌,幕僚-谋主,名臣：没有手牌时可以使用，摸1张牌，获得1军力。补充1次。,2军力,-6,1,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,
通用,支道林,2,策略牌,幕僚-艺术文化,名臣：支付1张手牌，传播1次[佛学]。补充1次。,1军力3vp,-9,1,1,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,1
通用,贺循,2,策略牌,幕僚-艺术文化,名臣：支付1张手牌，传播1次[儒学]。补充1次。,2军力1vp,-9,1,1,,,,,,,1,,,,,1,,,,,,,,,,,,,,1,,
通用,慧远,2,策略牌,幕僚-艺术文化,名臣：选择1个[佛学]区域，其控制者失去1军力。获得X vp，X=[佛学]贡献度。补充1次。,1军力3vp,-9,1,1,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,1
通用,干宝,2,策略牌,幕僚-艺术文化,名臣：选择1项：获得X vp，X=[文化]等级。补充1次。或者支付2军力，存档1张候选策略牌。补充1次。,2军力1vp,-9,1,1,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,1
通用,卫夫人,1,事件牌,幕僚-特殊,从手牌选择1张[名臣]牌，放置到本国牌库底，获得1功绩，然后存档此牌。,,0,,1,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,
通用,钱凤,1,策略牌,幕僚-特殊,名臣：补充1次。[僭越]支付1军力，摸2张牌。,2军力,-6,1,,,1,,,,1,1,,,,1,,,,,,,,,,,,,,,,,
通用,修缮城防,1,策略牌,策略-军备,朝堂：获得2军力。免费[加固]2次。,2军力,-6,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,
通用,募兵,1,策略牌,策略-军备,朝堂：支付2vp，获得5军力。,2军力,-6,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,
通用,分久必合,3,策略牌,策略-军备,朝堂：5军力。从[晋]面板获得[北伐]标记。被动：[儒学]等级>1时，可以打出或执行。,3军力,-12,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,1,,
通用,军屯,2,策略牌,策略-军备,朝堂：3军力。摸1张牌。,2军力1vp,-9,,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,
通用,具装甲骑,3,策略牌,策略-军备,朝堂：免费[进军]1次。获得2军力。,3军力,-9,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,
通用,坞堡,1,策略牌,策略-军备,东晋朝堂：3军力。免费[加固]1次。北方朝堂：转化1个中立地点，获得1军力。,2军力,-6,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,
通用,招抚,1,策略牌,策略-特殊,朝堂：转化1个相邻中立地点，可以打出1张名臣牌。,1军力2vp,-6,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,
通用,总督区,2,策略牌,策略-特殊,朝堂：控制1个区域时可以执行。获得4军力。摸1张牌。,2军力1vp,-9,,,,,1,1,,,1,,,,,,,,1,,,,,,,,,,,,,
通用,水师,2,策略牌,策略-军备,朝堂：免费[进军]1次，目标地点必须在[江南][淮南][荆襄][巴蜀]区域内。获得2军力。,2军力1vp,-9,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,
通用,选贤举能,2,策略牌,策略-特殊,朝堂：摸3张牌。,2军力1vp,-9,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,
通用,却月阵,3,策略牌,策略-特殊,朝堂：获得5军力。,3军力,-9,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,
通用,革除弊政,2,策略牌,策略-特殊,朝堂：支付1张手牌，然后存档1张候选策略牌，获得3军力。,2军力1vp,-9,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,
通用,营造宫殿,2,策略牌,策略-特殊,东晋朝堂：6vp，司马家获得7vp；北方朝堂：9vp。,1军力3vp,-9,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,
通用,荀灌,0,事件牌,事件-军事,占据[荆襄]区域任何地点时，可以打出，获得1军力，然后存档此牌。,,0,,,1,,,,,,1,,,,,,,,,,,1,,,,,,,,,,
通用,风声鹤唳，草木皆兵,3,事件牌,事件-军事,获得7军力。,,0,,,1,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,
通用,投鞭断流,3,事件牌,事件-军事,获得7军力。,,0,,,1,,,,1,,1,,,,,,,,,,,1,,,,,,,,,,
通用,赫连勃勃,0,事件牌,事件-军事,选择一项：将[关中]的1个未加固地点转化为中立占据；或者支付5军力，存档此牌。,,10,,,1,,,,,,1,,,,,,,,,,,1,,,,,,,,,,
通用,掠夺,0,事件牌,事件-军事,在本国弃牌区加入1张[流民]，然后获得4军力。,,0,,,1,,,,,,1,,,,,,,,,,,1,,,,,,,,,,
通用,徐道覆,0,事件牌,事件-军事,选择一项：将[江南]或[荆襄]的1个未加固地点转化为中立占据；或者支付4军力，存档此牌。,,8,,,1,,,,,,1,,,,,,,,,,,1,,,,,,,,,,
通用,卢循,0,事件牌,事件-军事,选择一项：将1个[玄学]区域的未加固地点转化为中立占据；或者支付4军力，存档此牌。,,8,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,
通用,朱序,0,事件牌,事件-军事,免费[加固]1次。获得1军力。,,0,,,1,,,,,,1,,,,,,,,,,,1,,,,,,,,,,
通用,苏峻,1,事件牌,事件-军事,选择一项：支付3vp，然后获得5军力；或者支付3军力，存档此牌。,,9,,,1,,,,,,1,,,,,,,,,,,1,,,,,,,,,,
通用,谯纵,0,事件牌,事件-军事,选择一项：将[巴蜀]区域的1个未加固地点转为中立占据；或者支付3军力，然后存档此牌。,,6,,,1,,,,,,1,,,,,,,,,,,1,,,,,,,,,,
通用,遣使请降,0,事件牌,事件-军事,选择1个非东晋占据的[儒学]区域的地点，转为司马家占据。[僭越]改为玩家占据。,,0,,,1,,,,,1,1,,,,,,,,,,,1,,,,,,,,1,,
通用,望风而降,0,事件牌,事件-军事,拥有至少7军力时，可以作为事件打出。转化1个相邻非友方地点。,,0,,,1,,,,,,1,,,,,,,,,,,1,,,,,,,,,,
通用,闻鸡起舞,0,事件牌,事件-功能,提高1级等级。,,0,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,,
通用,何充,3,事件牌,事件-功能,提高1级顺位，传播1次[佛学]，存档此牌。,,0,,,,1,,,,,1,,,,,,,,,,,,,,1,,,,,,,1
通用,标新立异,0,事件牌,事件-功能,可以依次打出2张手牌。,,0,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,,
