[Item Amount],vp数字,费用数字,text_top,text_top:color,text_owner,text_card_type,text_bottom,牌面背景:color,[Item Note]
1,4,2,谢道蕴,,谢安,"<align=""center"">{card_friend}-{art}</align>",{passive}每次{play}{art}牌或者{execute}{art}策略时，获得3{vp}。,#3E5F91FF,
1,1,0,高卧东山,#292929FF,谢安,"<align=""center"">{card_event}</align>",{search}[策略]，然后{save}{this}。,#F5EDDAFF,
1,3,1,郗超,,郗鉴,"<align=""center"">{card_friend}</align>",{action}选择1项：{discard}1张{hand}，然后摸1张牌；或者{abandon}1张{candidate}，然后{supple}1张牌到{court}。,#3E5F91FF,
1,-9,2,京口重镇,,郗鉴,"<align=""center"">{card_strategy}-{military}</align>",{decision}4{battle}。{newline}{passive}{friend_player}{occupy}[京口]时，才能{play}。{newline}{resource}2{battle}。,,
1,,2,流民帅,#292929FF,郗鉴,"<align=""center"">{card_event}-{military}</align>",获得2{battle}。{supplant}1个非[江南][荆襄]{district}的{neutral}{location}。,#F5EDDAFF,
1,12,1,通使建康,#292929FF,张轨,"<align=""center"">{card_event}-{power}</align>",如果有一条从[姑臧]到[建康]的全部{location}被{jin}势力{occupy}的线路，可以{play}，然后{save}{this}。,#F5EDDAFF,
1,-12,3,凉州大马,,张轨,"<align=""center"">{card_strategy}-{military}</align>",{decision}5{battle}。{newline}{passive}需要{friend_player}{occupy}[姑臧]及{neighbor}的1个{location}，才能{play}。{newline}{resource}3{battle}-1{vp}。,,
1,4,2,谢艾,,张轨,"<align=""center"">{card_friend}-{military}</align>",{action}1{battle}。{newline}{passive}每次{play}{military}牌或{execute}{military}策略后，获得1{vp}。,#3E5F91FF,
1,1,0,入幕之宾,#292929FF,桓温,"<align=""center"">{card_event}-{affair}</align>",{search}[幕僚]，然后{save}{this}。,#F5EDDAFF,
1,6,2,桓石虔,,桓温,"<align=""center"">{card_friend}-{military}</align>",{action}获得1{battle}。{newline}{passive}每次[{march}]，获得1{vp}。,#3E5F91FF,
1,4,1,伊霍之事,#292929FF,桓温,"<align=""center"">{card_event}-{power}</align>",{only}{jin}{player}{play}。{urusp}重洗当前{card_emperor}，并根据牌面描述重置{sima}{prestige}，获得1{prestige}，然后{save}{this}。,#F5EDDAFF,
1,6,3,王镇恶,,刘裕,"<align=""center"">{card_friend}-{military}</align>",{action}{execute}[{march}]，{fee}减1。{newline}{passive}每次{execute}[{march}]后，获得2{vp}。,#3E5F91FF,
1,6,2,刘穆之,,刘裕,"<align=""center"">{card_friend}-{affair}</align>",{action}摸1张牌。,#3E5F91FF,
1,-9,2,土断,,刘裕,"<align=""center"">{card_strategy}</align>",{only}{jin}{player}{play}。{newline}{decision}3{battle}。{urusp}其他每个{jin}{player}各{discard}1张{hand}。2{battle}。{newline}{resource}2{battle}。,,
1,0,2,刘琨,#292929FF,祖逖,"<align=""center"">{card_event}-{military}</align>",{only}{jin}{player}{play}。{supplant}[太原][平阳]，然后{save}{this}。{end}如果{friend_player}{occupy}[太原][平阳]，获得7{vp}。,#F5EDDAFF,
1,4,2,桓宣,,祖逖,"<align=""center"">{card_friend}</align>",{action}{pay}2{battle}，然后{supplant}1个{neighbor}{neutral}{location}。,#3E5F91FF,
1,2,3,击楫中流,#292929FF,祖逖,"<align=""center"">{card_event}</align>",获得6{battle}，{save}{this}。,#F5EDDAFF,
1,2,1,周处除三害,#292929FF,周玘,"<align=""center"">{card_event}-{affair}</align>",{save}1张{candidate}，然后{save}{this}。,#F5EDDAFF,
1,-9,2,兴修水利,,周玘,"<align=""center"">{card_strategy}-{affair}</align>",{decision}2{battle}2{vp}，然后{supple}一张牌到{court}。{newline}{resource}1{battle}2{vp}。,,
1,3,1,沈劲,,周玘,"<align=""center"">{card_friend}-{military}</align>",{action}选择1个{location}[{emp_defense}]。,#3E5F91FF,
